"Spieler","Marktpreis","Datum"
Aarón,8524900,2020-01-23 01:00:00
Aarón,8459655,2020-01-24 01:00:00
Aarón,8371633,2020-01-25 01:00:00
Aarón,8263016,2020-01-26 01:00:00
Aarón,8144400,2020-01-27 01:00:00
Aarón,8012090,2020-01-28 01:00:00
Aarón,7836376,2020-01-29 01:00:00
Aarón,7688009,2020-01-30 01:00:00
Aarón,7534184,2020-01-31 01:00:00
Aarón,7375161,2020-02-01 01:00:00
Aarón,7228344,2020-02-02 01:00:00
Aarón,7035583,2020-02-03 01:00:00
Aarón,6867451,2020-02-04 01:00:00
Aarón,6708716,2020-02-05 19:00:00
Aarón,6555865,2020-02-06 01:00:00
Aarón,6388480,2020-02-07 01:00:00
Aarón,6227270,2020-02-08 01:00:00
Aarón,6072764,2020-02-09 01:00:00
Aarón,5901989,2020-02-10 01:00:00
Aarón,5751989,2020-02-11 01:00:00
Aarón,5593403,2020-02-12 01:00:00
Aarón,5406502,2020-02-13 01:00:00
Aarón,5233060,2020-02-14 01:00:00
Aarón,5043545,2020-02-15 01:00:00
Aarón,4864534,2020-02-16 01:00:00
Aarón,4713612,2020-02-17 01:00:00
Aarón,4568850,2020-02-18 01:00:00
Aarón,4418497,2020-02-19 12:12:00
Aarón,4267832,2020-02-20 00:20:00
Aarón,4105792,2020-02-21 01:00:00
Aarón,3955069,2020-02-22 01:00:00
Aarón,3789174,2020-02-23 01:00:00
Aarón,3614862,2020-02-24 01:00:00
Aarón,3447082,2020-02-25 01:00:00
Aarón,3277000,2020-02-26 01:00:00
Aarón,3108925,2020-02-27 01:00:00
Aarón,2931715,2020-02-28 01:00:00
Aarón,2764006,2020-02-29 01:00:00
Aarón,2592161,2020-03-01 18:21:00
Aarón,2394682,2020-03-02 13:18:00
Aarón,2199627,2020-03-03 21:25:00
Aarón,2013736,2020-03-04 09:47:00
Aarón,1811387,2020-03-05 00:46:00
Aarón,1619449,2020-03-06 19:10:00
Aarón,1442950,2020-03-07 20:22:00
Aarón,1250935,2020-03-08 14:38:00
Aarón,1069234,2020-03-09 00:27:00
Abdelhamid Sabiri,502990,2020-01-23 01:00:00
Abdelhamid Sabiri,502990,2020-01-24 01:00:00
Abdelhamid Sabiri,500000,2020-01-25 01:00:00
Abdelhamid Sabiri,500000,2020-01-26 01:00:00
Abdelhamid Sabiri,729810,2020-01-27 01:00:00
Abdelhamid Sabiri,977795,2020-01-28 01:00:00
Abdelhamid Sabiri,1248101,2020-01-29 01:00:00
Abdelhamid Sabiri,1460238,2020-01-30 01:00:00
Abdelhamid Sabiri,1643597,2020-01-31 01:00:00
Abdelhamid Sabiri,1759656,2020-02-01 01:00:00
Abdelhamid Sabiri,1844549,2020-02-02 01:00:00
Abdelhamid Sabiri,1918976,2020-02-03 01:00:00
Abdelhamid Sabiri,2007281,2020-02-04 01:00:00
Abdelhamid Sabiri,2074697,2020-02-05 19:00:00
Abdelhamid Sabiri,2143776,2020-02-06 01:00:00
Abdelhamid Sabiri,2187108,2020-02-07 01:00:00
Abdelhamid Sabiri,2203040,2020-02-08 01:00:00
Abdelhamid Sabiri,2183413,2020-02-09 01:00:00
Abdelhamid Sabiri,2022191,2020-02-10 01:00:00
Abdelhamid Sabiri,1801908,2020-02-11 01:00:00
Abdelhamid Sabiri,1584953,2020-02-12 01:00:00
Abdelhamid Sabiri,1360446,2020-02-13 01:00:00
Abdelhamid Sabiri,1144622,2020-02-14 01:00:00
Abdelhamid Sabiri,927904,2020-02-15 01:00:00
Abdelhamid Sabiri,709510,2020-02-16 01:00:00
Abdelhamid Sabiri,500000,2020-02-17 01:00:00
Abdelhamid Sabiri,500000,2020-02-18 01:00:00
Abdelhamid Sabiri,500000,2020-02-19 12:12:00
Abdelhamid Sabiri,506977,2020-02-20 00:20:00
Abdelhamid Sabiri,506977,2020-02-21 01:00:00
Abdelhamid Sabiri,506977,2020-02-22 01:00:00
Abdelhamid Sabiri,500000,2020-02-23 01:00:00
Abdelhamid Sabiri,500000,2020-02-24 01:00:00
Abdelhamid Sabiri,500000,2020-02-25 01:00:00
Abdelhamid Sabiri,545103,2020-02-26 01:00:00
Abdelhamid Sabiri,513465,2020-02-27 01:00:00
Abdelhamid Sabiri,517225,2020-02-28 01:00:00
Abdelhamid Sabiri,534395,2020-02-29 01:00:00
Abdelhamid Sabiri,500000,2020-03-01 18:21:00
Abdelhamid Sabiri,500000,2020-03-02 13:18:00
Abdelhamid Sabiri,500000,2020-03-03 21:25:00
Abdelhamid Sabiri,595973,2020-03-04 09:47:00
Abdelhamid Sabiri,536087,2020-03-05 00:46:00
Abdelhamid Sabiri,536087,2020-03-06 19:10:00
Abdelhamid Sabiri,500000,2020-03-07 20:22:00
Abdelhamid Sabiri,500000,2020-03-08 14:38:00
Abdelhamid Sabiri,500000,2020-03-09 00:27:00
Achraf Hakimi,40625898,2020-01-23 01:00:00
Achraf Hakimi,40650874,2020-01-24 01:00:00
Achraf Hakimi,40680797,2020-01-25 01:00:00
Achraf Hakimi,40702177,2020-01-26 01:00:00
Achraf Hakimi,40778287,2020-01-27 01:00:00
Achraf Hakimi,40821814,2020-01-28 01:00:00
Achraf Hakimi,40900172,2020-01-29 01:00:00
Achraf Hakimi,40951447,2020-01-30 01:00:00
Achraf Hakimi,40955875,2020-01-31 01:00:00
Achraf Hakimi,40968477,2020-02-01 01:00:00
Achraf Hakimi,40955048,2020-02-02 01:00:00
Achraf Hakimi,40982529,2020-02-03 01:00:00
Achraf Hakimi,41006948,2020-02-04 01:00:00
Achraf Hakimi,41039835,2020-02-05 19:00:00
Achraf Hakimi,40983267,2020-02-06 01:00:00
Achraf Hakimi,41035593,2020-02-07 01:00:00
Achraf Hakimi,41040576,2020-02-08 01:00:00
Achraf Hakimi,41056301,2020-02-09 01:00:00
Achraf Hakimi,41073010,2020-02-10 01:00:00
Achraf Hakimi,41081369,2020-02-11 01:00:00
Achraf Hakimi,41140736,2020-02-12 01:00:00
Achraf Hakimi,41190037,2020-02-13 01:00:00
Achraf Hakimi,41110205,2020-02-14 01:00:00
Achraf Hakimi,40929266,2020-02-15 01:00:00
Achraf Hakimi,40967450,2020-02-16 01:00:00
Achraf Hakimi,41037425,2020-02-17 01:00:00
Achraf Hakimi,41155832,2020-02-18 01:00:00
Achraf Hakimi,41239232,2020-02-19 12:12:00
Achraf Hakimi,41342279,2020-02-20 00:20:00
Achraf Hakimi,41427368,2020-02-21 01:00:00
Achraf Hakimi,41489896,2020-02-22 01:00:00
Achraf Hakimi,41582773,2020-02-23 01:00:00
Achraf Hakimi,41669056,2020-02-24 01:00:00
Achraf Hakimi,41816562,2020-02-25 01:00:00
Achraf Hakimi,41941817,2020-02-26 01:00:00
Achraf Hakimi,42068184,2020-02-27 01:00:00
Achraf Hakimi,42215647,2020-02-28 01:00:00
Achraf Hakimi,42300365,2020-02-29 01:00:00
Achraf Hakimi,42382481,2020-03-01 18:21:00
Achraf Hakimi,42460997,2020-03-02 13:18:00
Achraf Hakimi,42527465,2020-03-03 21:25:00
Achraf Hakimi,42606998,2020-03-04 09:47:00
Achraf Hakimi,42732659,2020-03-05 00:46:00
Achraf Hakimi,42788265,2020-03-06 19:10:00
Achraf Hakimi,42852028,2020-03-07 20:22:00
Achraf Hakimi,42885940,2020-03-08 14:38:00
Achraf Hakimi,42990755,2020-03-09 00:27:00
Adam Bodzek,500000,2020-01-23 01:00:00
Adam Bodzek,500000,2020-01-24 01:00:00
Adam Bodzek,500000,2020-01-25 01:00:00
Adam Bodzek,500000,2020-01-26 01:00:00
Adam Bodzek,500000,2020-01-27 01:00:00
Adam Bodzek,500000,2020-01-28 01:00:00
Adam Bodzek,500000,2020-01-29 01:00:00
Adam Bodzek,500000,2020-01-30 01:00:00
Adam Bodzek,500000,2020-01-31 01:00:00
Adam Bodzek,500000,2020-02-01 01:00:00
Adam Bodzek,500000,2020-02-02 01:00:00
Adam Bodzek,500000,2020-02-03 01:00:00
Adam Bodzek,500000,2020-02-04 01:00:00
Adam Bodzek,500000,2020-02-05 19:00:00
Adam Bodzek,500000,2020-02-06 01:00:00
Adam Bodzek,500000,2020-02-07 01:00:00
Adam Bodzek,500000,2020-02-08 01:00:00
Adam Bodzek,500000,2020-02-09 01:00:00
Adam Bodzek,500000,2020-02-10 01:00:00
Adam Bodzek,500000,2020-02-11 01:00:00
Adam Bodzek,500000,2020-02-12 01:00:00
Adam Bodzek,500000,2020-02-13 01:00:00
Adam Bodzek,500000,2020-02-14 01:00:00
Adam Bodzek,500000,2020-02-15 01:00:00
Adam Bodzek,500000,2020-02-16 01:00:00
Adam Bodzek,500000,2020-02-17 01:00:00
Adam Bodzek,500000,2020-02-18 01:00:00
Adam Bodzek,500000,2020-02-19 12:12:00
Adam Bodzek,500000,2020-02-20 00:20:00
Adam Bodzek,500000,2020-02-21 01:00:00
Adam Bodzek,500000,2020-02-22 01:00:00
Adam Bodzek,500000,2020-02-23 01:00:00
Adam Bodzek,500000,2020-02-24 01:00:00
Adam Bodzek,500000,2020-02-25 01:00:00
Adam Bodzek,500000,2020-02-26 01:00:00
Adam Bodzek,500000,2020-02-27 01:00:00
Adam Bodzek,500000,2020-02-28 01:00:00
Adam Bodzek,500000,2020-02-29 01:00:00
Adam Bodzek,500000,2020-03-01 18:21:00
Adam Bodzek,500000,2020-03-02 13:18:00
Adam Bodzek,500000,2020-03-03 21:25:00
Adam Bodzek,500000,2020-03-04 09:47:00
Adam Bodzek,500000,2020-03-05 00:46:00
Adam Bodzek,500000,2020-03-06 19:10:00
Adam Bodzek,500000,2020-03-07 20:22:00
Adam Bodzek,500000,2020-03-08 14:38:00
Adam Bodzek,500000,2020-03-09 00:27:00
Ádám Szalai,572526,2020-01-23 01:00:00
Ádám Szalai,500000,2020-01-24 01:00:00
Ádám Szalai,500000,2020-01-25 01:00:00
Ádám Szalai,500000,2020-01-26 01:00:00
Ádám Szalai,500000,2020-01-27 01:00:00
Ádám Szalai,500000,2020-01-28 01:00:00
Ádám Szalai,500000,2020-01-29 01:00:00
Ádám Szalai,500000,2020-01-30 01:00:00
Ádám Szalai,500000,2020-01-31 01:00:00
Ádám Szalai,500000,2020-02-01 01:00:00
Ádám Szalai,500000,2020-02-02 01:00:00
Ádám Szalai,500000,2020-02-03 01:00:00
Ádám Szalai,500000,2020-02-04 01:00:00
Ádám Szalai,500000,2020-02-05 19:00:00
Ádám Szalai,500000,2020-02-06 01:00:00
Ádám Szalai,500000,2020-02-07 01:00:00
Ádám Szalai,500000,2020-02-08 01:00:00
Ádám Szalai,500000,2020-02-09 01:00:00
Ádám Szalai,500000,2020-02-10 01:00:00
Ádám Szalai,500000,2020-02-11 01:00:00
Ádám Szalai,500000,2020-02-12 01:00:00
Ádám Szalai,500000,2020-02-13 01:00:00
Ádám Szalai,500000,2020-02-14 01:00:00
Ádám Szalai,500000,2020-02-15 01:00:00
Ádám Szalai,500000,2020-02-16 01:00:00
Ádám Szalai,500000,2020-02-17 01:00:00
Ádám Szalai,500000,2020-02-18 01:00:00
Ádám Szalai,500000,2020-02-19 12:12:00
Ádám Szalai,500000,2020-02-20 00:20:00
Ádám Szalai,500000,2020-02-21 01:00:00
Ádám Szalai,500000,2020-02-22 01:00:00
Ádám Szalai,500000,2020-02-23 01:00:00
Ádám Szalai,500000,2020-02-24 01:00:00
Ádám Szalai,500000,2020-02-25 01:00:00
Ádám Szalai,500000,2020-02-26 01:00:00
Ádám Szalai,500000,2020-02-27 01:00:00
Ádám Szalai,500000,2020-02-28 01:00:00
Ádám Szalai,500000,2020-02-29 01:00:00
Ádám Szalai,500000,2020-03-01 18:21:00
Ádám Szalai,500000,2020-03-02 13:18:00
Ádám Szalai,500000,2020-03-03 21:25:00
Ádám Szalai,500000,2020-03-04 09:47:00
Ádám Szalai,500000,2020-03-05 00:46:00
Ádám Szalai,500000,2020-03-06 19:10:00
Ádám Szalai,500000,2020-03-07 20:22:00
Ádám Szalai,500000,2020-03-08 14:38:00
Ádám Szalai,500000,2020-03-09 00:27:00
Ademola Lookman,500000,2020-01-23 01:00:00
Ademola Lookman,500000,2020-01-24 01:00:00
Ademola Lookman,500000,2020-01-25 01:00:00
Ademola Lookman,500000,2020-01-26 01:00:00
Ademola Lookman,500000,2020-01-27 01:00:00
Ademola Lookman,500000,2020-01-28 01:00:00
Ademola Lookman,500000,2020-01-29 01:00:00
Ademola Lookman,500000,2020-01-30 01:00:00
Ademola Lookman,500000,2020-01-31 01:00:00
Ademola Lookman,500000,2020-02-01 01:00:00
Ademola Lookman,500000,2020-02-02 01:00:00
Ademola Lookman,500000,2020-02-03 01:00:00
Ademola Lookman,500000,2020-02-04 01:00:00
Ademola Lookman,500000,2020-02-05 19:00:00
Ademola Lookman,500000,2020-02-06 01:00:00
Ademola Lookman,500000,2020-02-07 01:00:00
Ademola Lookman,500000,2020-02-08 01:00:00
Ademola Lookman,500000,2020-02-09 01:00:00
Ademola Lookman,500000,2020-02-10 01:00:00
Ademola Lookman,525390,2020-02-11 01:00:00
Ademola Lookman,541037,2020-02-12 01:00:00
Ademola Lookman,547777,2020-02-13 01:00:00
Ademola Lookman,536129,2020-02-14 01:00:00
Ademola Lookman,500000,2020-02-15 01:00:00
Ademola Lookman,500000,2020-02-16 01:00:00
Ademola Lookman,500000,2020-02-17 01:00:00
Ademola Lookman,500000,2020-02-18 01:00:00
Ademola Lookman,500000,2020-02-19 12:12:00
Ademola Lookman,500000,2020-02-20 00:20:00
Ademola Lookman,500000,2020-02-21 01:00:00
Ademola Lookman,500000,2020-02-22 01:00:00
Ademola Lookman,500000,2020-02-23 01:00:00
Ademola Lookman,500000,2020-02-24 01:00:00
Ademola Lookman,500000,2020-02-25 01:00:00
Ademola Lookman,500000,2020-02-26 01:00:00
Ademola Lookman,500000,2020-02-27 01:00:00
Ademola Lookman,500000,2020-02-28 01:00:00
Ademola Lookman,500000,2020-02-29 01:00:00
Ademola Lookman,500000,2020-03-01 18:21:00
Ademola Lookman,500000,2020-03-02 13:18:00
Ademola Lookman,500000,2020-03-03 21:25:00
Ademola Lookman,500000,2020-03-04 09:47:00
Ademola Lookman,500000,2020-03-05 00:46:00
Ademola Lookman,500000,2020-03-06 19:10:00
Ademola Lookman,500000,2020-03-07 20:22:00
Ademola Lookman,500000,2020-03-08 14:38:00
Ademola Lookman,500000,2020-03-09 00:27:00
Admir Mehmedi,1493573,2020-01-23 01:00:00
Admir Mehmedi,1345176,2020-01-24 01:00:00
Admir Mehmedi,1193658,2020-01-25 01:00:00
Admir Mehmedi,1089241,2020-01-26 01:00:00
Admir Mehmedi,1178933,2020-01-27 01:00:00
Admir Mehmedi,1242791,2020-01-28 01:00:00
Admir Mehmedi,1352632,2020-01-29 01:00:00
Admir Mehmedi,1456893,2020-01-30 01:00:00
Admir Mehmedi,1548450,2020-01-31 01:00:00
Admir Mehmedi,1644946,2020-02-01 01:00:00
Admir Mehmedi,1747441,2020-02-02 01:00:00
Admir Mehmedi,1823495,2020-02-03 01:00:00
Admir Mehmedi,1988576,2020-02-04 01:00:00
Admir Mehmedi,2171994,2020-02-05 19:00:00
Admir Mehmedi,2323569,2020-02-06 01:00:00
Admir Mehmedi,2486131,2020-02-07 01:00:00
Admir Mehmedi,2596241,2020-02-08 01:00:00
Admir Mehmedi,2721201,2020-02-09 01:00:00
Admir Mehmedi,2882192,2020-02-10 01:00:00
Admir Mehmedi,3058980,2020-02-11 01:00:00
Admir Mehmedi,3224093,2020-02-12 01:00:00
Admir Mehmedi,3392835,2020-02-13 01:00:00
Admir Mehmedi,3506290,2020-02-14 01:00:00
Admir Mehmedi,3589576,2020-02-15 01:00:00
Admir Mehmedi,3662649,2020-02-16 01:00:00
Admir Mehmedi,3752848,2020-02-17 01:00:00
Admir Mehmedi,3859329,2020-02-18 01:00:00
Admir Mehmedi,3970534,2020-02-19 12:12:00
Admir Mehmedi,4081611,2020-02-20 00:20:00
Admir Mehmedi,4210549,2020-02-21 01:00:00
Admir Mehmedi,4319162,2020-02-22 01:00:00
Admir Mehmedi,4409162,2020-02-23 01:00:00
Admir Mehmedi,4485312,2020-02-24 01:00:00
Admir Mehmedi,4552639,2020-02-25 01:00:00
Admir Mehmedi,4611672,2020-02-26 01:00:00
Admir Mehmedi,4624839,2020-02-27 01:00:00
Admir Mehmedi,4597615,2020-02-28 01:00:00
Admir Mehmedi,4603675,2020-02-29 01:00:00
Admir Mehmedi,4504429,2020-03-01 18:21:00
Admir Mehmedi,4350623,2020-03-02 13:18:00
Admir Mehmedi,4177578,2020-03-03 21:25:00
Admir Mehmedi,3993518,2020-03-04 09:47:00
Admir Mehmedi,3823646,2020-03-05 00:46:00
Admir Mehmedi,3647973,2020-03-06 19:10:00
Admir Mehmedi,3483353,2020-03-07 20:22:00
Admir Mehmedi,3314522,2020-03-08 14:38:00
Admir Mehmedi,3175015,2020-03-09 00:27:00
Adrian Oeynhausen,500000,2020-01-23 01:00:00
Adrian Oeynhausen,500000,2020-01-24 01:00:00
Adrian Oeynhausen,500000,2020-01-25 01:00:00
Adrian Oeynhausen,500000,2020-01-26 01:00:00
Adrian Oeynhausen,500000,2020-01-27 01:00:00
Adrian Oeynhausen,500000,2020-01-28 01:00:00
Adrian Oeynhausen,500000,2020-01-29 01:00:00
Adrian Oeynhausen,500000,2020-01-30 01:00:00
Adrian Oeynhausen,500000,2020-01-31 01:00:00
Adrian Oeynhausen,500000,2020-02-01 01:00:00
Adrian Oeynhausen,500000,2020-02-02 01:00:00
Adrian Oeynhausen,500000,2020-02-03 01:00:00
Adrian Oeynhausen,500000,2020-02-04 01:00:00
Adrian Oeynhausen,500000,2020-02-05 19:00:00
Adrian Oeynhausen,500000,2020-02-06 01:00:00
Adrian Oeynhausen,500000,2020-02-07 01:00:00
Adrian Oeynhausen,500000,2020-02-08 01:00:00
Adrian Oeynhausen,500000,2020-02-09 01:00:00
Adrian Oeynhausen,500000,2020-02-10 01:00:00
Adrian Oeynhausen,500000,2020-02-11 01:00:00
Adrian Oeynhausen,500000,2020-02-12 01:00:00
Adrian Oeynhausen,500000,2020-02-13 01:00:00
Adrian Oeynhausen,500000,2020-02-14 01:00:00
